consumidor_id	email	renda	data_nascimento	acessos	primeiro_login	visualizacoes_divida
1	nome_1@provedor_b.com.br	C	1987-10-23	25		0
2	nome_2@provedor_a.com.br	D	1959-06-21	48	2020-03-22	23
3	nome_3@provedor_b.com.br	A	1984-09-29	8	2020-11-13	5
4	nome_4@provedor_a.com.br	C	1994-02-13	0	2020-07-11	0
5	nome_5@provedor_b.com.br	C	1979-07-18	2	2020-06-27	2
6	nome_6@provedor_a.com.br	D	1993-03-25	30	2020-06-24	18
7	nome_7@provedor_a.com.br	D	1970-07-18	0	2020-07-19	0
8	nome_8@provedor_a.com.br	D	1991-01-20	40		0
9	nome_9@provedor_a.com.br	C	2001-04-13	25	2020-09-17	10
10	nome_10@provedor_b.com.br	C	1968-02-27	62		0
11	nome_11@provedor_a.com.br	B	1979-05-14	0	2020-08-30	0
12	nome_12@provedor_a.com.br	C	1980-12-21	21	2020-09-08	17
13	nome_13@provedor_c.com.br	B	1987-10-22	61		0
14	nome_14@provedor_a.com.br	D	1986-12-02	50	2020-10-11	41
15	nome_15@provedor_b.com.br	C	1972-02-09	29	2020-08-02	17
16	nome_16@provedor_b.com.br	D	1969-03-28	11	2020-05-09	1
17	nome_17@provedor_a.com.br	C	1990-06-21	16		0
18	nome_18@provedor_c.com.br	D	1984-08-16	0	2020-09-04	0
19	nome_19@provedor_a.com.br	D	1982-06-10	28		0
20	nome_20@provedor_a.com.br	C	2001-04-13	24	2020-07-29	9
21	nome_21@provedor_c.com.br	C	1997-12-11	50	2020-07-18	4
22	nome_22@provedor_b.com.br	C	1977-02-14	12	2020-02-03	9
23	nome_23@provedor_a.com.br	C	1981-11-23	21	2020-07-19	11
24	nome_24@provedor_a.com.br	D	1999-08-04	75	2020-09-21	59
25	nome_25@provedor_b.com.br	D	1980-12-05	48		0
26	nome_26@provedor_a.com.br	C	1975-10-15	59	2020-06-21	59
27	nome_27@provedor_a.com.br	D	1977-06-26	7		0
28	nome_28@provedor_c.com.br	C	1996-10-23	28		0
29	nome_29@provedor_a.com.br	D	1992-06-06	12		0
30	nome_30@provedor_c.com.br	C	1981-03-18	37		0
31	nome_31@provedor_a.com.br	C	1997-09-20	3		0
32	nome_32@provedor_a.com.br	C	1988-08-06	15	2020-06-20	8
33	nome_33@provedor_c.com.br	D	1975-07-04	16	2020-09-25	7
34	nome_34@provedor_a.com.br	C	1981-07-28	76		0
35	nome_35@provedor_c.com.br	C	1976-10-01	11	2020-09-24	8
36	nome_36@provedor_c.com.br	C	2001-04-13	26	2020-09-01	24
37	nome_37@provedor_a.com.br	D	1985-07-17	51		0
38	nome_38@provedor_a.com.br	D	1992-12-14	0	2020-10-22	0
39	nome_39@provedor_b.com.br	D	1978-07-23	26	2020-05-12	25
40	nome_40@provedor_c.com.br	C	1991-04-09	58	2020-06-23	41
41	nome_41@provedor_a.com.br	A	1989-01-09	33	2020-11-03	25
42	nome_42@provedor_a.com.br	C	1981-12-20	0		0
43	nome_43@provedor_a.com.br	D	1991-08-04	25	2020-10-31	15
44	nome_44@provedor_b.com.br	A	1998-01-19	70		0
45	nome_45@provedor_c.com.br	D	1992-10-25	56	2020-12-29	54
46	nome_46@provedor_a.com.br	D	1986-01-28	0	2020-09-01	0
47	nome_47@provedor_a.com.br	A	1981-05-29	36		0
48	nome_48@provedor_a.com.br	C	2001-04-13	48		0
49	nome_49@provedor_b.com.br	C	1999-07-29	15		0
50	nome_50@provedor_c.com.br	C	1998-12-23	31		0
51	nome_51@provedor_a.com.br	C	1998-07-21	69		0
52	nome_52@provedor_b.com.br	C	1996-11-24	10	2020-12-16	5
53	nome_53@provedor_a.com.br	C	1985-03-08	0	2020-11-11	0
54	nome_54@provedor_a.com.br	C	1989-05-02	42		0
55	nome_55@provedor_a.com.br	A	1982-12-11	33	2020-11-14	14
56	nome_56@provedor_a.com.br	C	1989-08-02	9		0
57	nome_57@provedor_c.com.br	A	1989-02-18	20	2020-07-10	17
58	nome_58@provedor_a.com.br	C	1993-10-01	0		0
